FPA_ID,FIRE_YEAR,FIRE_NAME,DISCOVERY_DATE,DISCOVERY_DOY,CAUSE_CLASS,GENERAL_CAUSE,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,MONTH
W-110222,2002,DEER,2002-07-21,202,Human,Misuse of fire by a minor,1800.0,F,35.5947,-118.4926,9
FS-382347,2002,PLUM,2002-11-25,329,Human,Debris and open burning,1763.0,F,38.71916667,-120.38416667,9
W-111631,2002,BLACK,2002-07-12,193,Natural,Natural,1510.0,F,40.61846,-120.54688999999999,12
W-214292,2002,PALISADE,2002-08-26,238,Natural,Natural,1497.0,F,37.053259999999995,-118.53663999999999,7
ICS209_2002_CA-ORC-  27999,2002,ANTONIO,2002-05-13,133,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1472.0,F,33.591667,-117.61666699999999,7
FS-383591,2002,COPCO,2002-06-18,169,Human,Arson/incendiarism,1465.0,F,34.75777778,-118.795,7
ICS209_2002_CA-LPF-1543,2002,HUGHES,2002-08-20,232,Human,Missing data/not specified/undetermined,1420.0,F,35.903056,-121.214444,8
ICS209_2002_CA-BEU-3023,2002,FT. HUNTER LIGGETT ASSIST #2,2002-08-10,222,Human,Missing data/not specified/undetermined,1400.0,F,35.984167,-121.151944,1
W-565426,2002,HWY 58,2002-07-18,199,Human,Arson/incendiarism,1380.0,F,35.432660999999996,-120.54961899999999,8
FS-383525,2002,OASIS,2002-09-14,257,Human,Equipment and vehicle use,1305.0,F,34.44055556,-118.30305556,8
FS-379156,2002,FORKS,2002-06-09,160,Human,Debris and open burning,1301.0,F,41.275,-123.34166667,8
ICS209_2002_CA-TUU-006214,2002,STAGE,2002-06-22,173,Human,Missing data/not specified/undetermined,1300.0,F,35.885833,-118.88333300000001,8
ICS209_2002_CA-MEU-9436,2002,PINE,2002-11-26,330,Human,Missing data/not specified/undetermined,1200.0,F,38.872222,-122.96111100000002,8
W-108444,2002,FIELD,2002-06-09,160,Human,Power generation/transmission/distribution,1100.0,F,39.2296,-121.3075,8
FS-383609,2002,POST,2002-09-01,244,Human,Equipment and vehicle use,1043.0,F,34.53166667,-118.63638889,8
SFO-2002CACDFSCU002228,2002,VIEUX                    ,2002-06-18,169,Human,Equipment and vehicle use,1029.0,F,37.68611111,-121.55888888,9
FS-381718,2002,MATEO,2002-05-13,133,Human,Equipment and vehicle use,1000.0,F,33.43777778,-117.45833333,9
SFO-2002CACDFMMU011097,2002,COTTONWOOD               ,2002-07-04,185,Human,Missing data/not specified/undetermined,1000.0,F,37.07888888,-121.20805555,9
ICS209_2002_CA-RRU-29527,2002,EVENING,2002-04-21,111,Missing data/not specified/undetermined,Missing data/not specified/undetermined,892.0,E,33.869167,-117.68361100000001,10
W-105187,2001,OBSERVATIO,2001-08-09,221,Natural,Natural,67792.0,G,40.77277,-120.24028,10
FS-369288,2001,BLUE,2001-08-09,221,Natural,Natural,34319.0,G,41.15944444,-120.31166667,11
FS-366896,2001,TROUGH,2001-08-08,220,Human,Missing data/not specified/undetermined,24970.0,G,39.375,-122.635,1
FS-369864,2001,STAR,2001-08-25,237,Human,Missing data/not specified/undetermined,16761.0,G,39.05,-120.51861111,2
FS-368902,2001,MARTIS,2001-06-17,168,Human,Recreation and ceremony,14500.0,G,38.7725,-119.79777778,2
FS-370552,2001,DARBY,2001-09-05,248,Human,Missing data/not specified/undetermined,14280.0,G,38.13555556,-120.3675,1
W-103806,2001,CREEK,2001-08-18,230,Human,Arson/incendiarism,11185.0,G,37.7463,-120.2513,1
W-466172,2001,VIEJAS,2001-01-03,3,Human,Smoking,10353.0,G,32.7792,-116.8342,8
W-220620,2001,HOOVER,2001-07-10,191,Natural,Natural,9300.0,G,37.6249,-119.4865,2
ICS209_2001_CA-BTU-10696,2001,POE,2001-09-06,249,Missing data/not specified/undetermined,Missing data/not specified/undetermined,8333.0,G,39.691666999999995,-121.45833300000001,1
FS-370374,2001,SWILLUP II,2001-09-15,258,Natural,Natural,8055.0,G,41.60583333,-123.51166667,2
W-103810,2001,LEONARD,2001-08-18,230,Human,Equipment and vehicle use,6800.0,G,38.2252,-120.6805,2
FS-371430,2001,STABLES,2001-10-12,285,Human,Missing data/not specified/undetermined,6540.0,G,34.49055556,-118.45638889,2
FS-371109,2001,CRATER,2001-08-12,224,Natural,Natural,5570.0,G,37.86805556,-118.98333333,2
W-102620,2001,LMU DEVIL,2001-05-27,147,Human,Firearms and explosives use,4400.0,F,40.3716,-120.7794,1
FWS-2001CACLR1807,2001,CLEAR,2001-07-03,184,Natural,Natural,4317.0,F,41.86666667,-121.125,2
W-214205,2001,HIGHWAY,2001-08-19,231,Human,Missing data/not specified/undetermined,4152.0,F,36.75023,-119.0865,2
FS-372103,2001,NORTH FORK,2001-08-20,232,Human,Equipment and vehicle use,4132.0,F,37.25111111,-119.50111111,2
FS-368434,2001,STREAM,2001-07-26,207,Natural,Natural,3560.0,F,40.16722222,-120.63388889,2
FS-369205,2001,BELL,2001-08-10,222,Natural,Natural,2977.0,F,41.69527778,-120.99611111,1
FS-365757,2001,MCLAUGHLIN,2001-07-02,183,Natural,Natural,2714.0,F,37.75166667,-118.8675,1
W-103798,2001,PONDEROSA,2001-08-27,239,Human,Equipment and vehicle use,2688.0,F,39.0632,-120.8266,1
FS-371403,2001,SLOAN,2001-08-27,239,Human,Missing data/not specified/undetermined,2500.0,F,34.49222222,-118.65305556,2
FS-369753,2001,GAP,2001-08-12,224,Human,Recreation and ceremony,2462.0,F,39.26888889,-120.65027778,2
ICS209_2001_CA-RRU-10403,2001,GREEN,2001-02-09,40,Missing data/not specified/undetermined,Missing data/not specified/undetermined,2400.0,F,34.867778,-117.66305600000001,2
SFO-2001CACDFAEU008312,2001,JACKSON                  ,2001-06-13,164,Human,Equipment and vehicle use,2240.0,F,38.28694444,-120.97305555,3
W-214191,2001,BURNT,2001-07-30,211,Natural,Natural,2213.0,F,36.96043,-118.6996,3
SFO-2001CACDFRRU050309,2001,RECHE                    ,2001-07-22,203,Human,Missing data/not specified/undetermined,1798.0,F,33.99694444,-117.14694444,3
ICS209_2001_CA-BTU-12700,2001,70,2001-10-24,297,Human,Missing data/not specified/undetermined,1711.0,F,39.833611,-121.4175,2
FS-367774,2001,OREGON,2001-08-28,240,Human,Equipment and vehicle use,1680.0,F,40.75,-122.96666667,2
SFO-2001CACDFMMU009893,2001,PACHECO                  ,2001-06-16,167,Human,Equipment and vehicle use,1550.0,F,37.09388888,-121.22611111,3
FS-367130,2001,JONES,2001-05-09,129,Human,Debris and open burning,1488.0,F,41.8525,-122.76861111,2
